"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ag.3R.609.2_at",0.0682510440331991,3.26924536948284,1.01661625124228,0.322263031879635,0.997469446747738,-4.87676238832206
"Ag.3L.919.0_CDS_at",0.0745815208864049,3.49326690748152,1.01652105515318,0.322307157999103,0.997469446747738,-4.87683268581328
"Pf.5.292.0_CDS_at",0.0901762890434887,11.4281834968015,1.01644785829303,0.322341089743706,0.997469446747738,-4.87688673410557
"Ag.3R.1856.0_CDS_s_at",-0.0573824214026862,3.06817166751956,-1.01638484862878,0.322370301045792,0.997469446747738,-4.87693325750656
"Ag.2L.4115.0_at",-0.0558233000798872,2.78589902967225,-1.01608816235543,0.322507870005907,0.997469446747738,-4.8771522832142
"Ag.2R.29.0_CDS_at",-0.0560434537502387,2.80073022904952,-1.01607589121972,0.322513560838639,0.997469446747738,-4.87716134106446
"Ag.2R.2098.0_CDS_at",-0.0963303559642452,3.15258112373323,-1.01597439832567,0.322560631657944,0.997469446747738,-4.87723625367423
"Ag.X.1055.0_CDS_a_at",0.0756647804225801,3.227833253025,1.01596711532985,0.322564009584019,0.997469446747738,-4.87724162905442
"Ag.2R.788.0_CDS_at",-0.0564548762881103,4.12647919226335,-1.01589870158819,0.322595741777669,0.997469446747738,-4.87729212173607
"Ag.2L.2008.0_CDS_at",0.0616691395954455,2.9055816088669,1.01573815729828,0.322670215325152,0.997469446747738,-4.8774105996795
"Ag.UNKN.156.0_CDS_at",0.0551024402036456,3.13998022486332,1.01558020830676,0.322743496794927,0.997469446747738,-4.87752714650286
"Ag.3L.401.0_CDS_a_at",0.0699861195800382,3.07922892056147,1.01548925632639,0.322785699887599,0.997469446747738,-4.87759425068378
"Pf.9.17.0_CDS_at",0.257107484427181,7.57711096935419,1.01547723664102,0.322791277494315,0.997469446747738,-4.8776031183925
"Ag.3L.2436.0_at",0.0622400617439722,2.71548457329453,1.01547554934704,0.322792060470519,0.997469446747738,-4.87760436321243
"Ag.2L.2610.0_CDS_at",-0.0552057358339573,3.54126711914232,-1.01527175563879,0.322886639273937,0.997469446747738,-4.8777547010953
"Ag.3L.261.0_CDS_at",0.0535039054770798,3.16321157508272,1.01515012893608,0.322943094429648,0.997469446747738,-4.87784441220166
"Ag.2L.309.0_CDS_a_at",-0.0592988703595558,3.81134628704027,-1.01513673115778,0.322949313667728,0.997469446747738,-4.87785429375025
"Ag.3R.1463.0_CDS_a_at",0.0466795442672934,2.83203824194414,1.01502399789817,0.323001647702693,0.997469446747738,-4.87793743582921
"Ag.2R.3304.0_CDS_at",-0.0636338415601598,4.11613591143497,-1.01487078240229,0.323072784346961,0.997469446747738,-4.87805042118158
"Ag.3L.10.1_CDS_a_at",-0.0637789279319745,3.06657728421169,-1.01484490681216,0.32308479925235,0.997469446747738,-4.87806950109815
"Ag.3R.468.0_CDS_s_at",0.0510920790974502,2.85001993292433,1.01481627672248,0.323098093531503,0.997469446747738,-4.87809061161167
"Ag.UNKN.2686.0_at",-0.0713711848448095,3.99062780380846,-1.01473511071607,0.323135784771174,0.997469446747738,-4.87815045688886
"Ag.UNKN.2485.0_at",0.0628856947681227,2.9314207312047,1.01462359262891,0.323187575729678,0.997469446747738,-4.87823267457304
