"","GSM253220.CEL.gz","GSM253221.CEL.gz","GSM253222.CEL.gz","GSM253223.CEL.gz","GSM253224.CEL.gz","GSM253225.CEL.gz","GSM253226.CEL.gz","GSM253227.CEL.gz","GSM253228.CEL.gz","GSM253229.CEL.gz","GSM253230.CEL.gz","GSM253231.CEL.gz","GSM253232.CEL.gz","GSM253233.CEL.gz","GSM253234.CEL.gz","GSM253235.CEL.gz","GSM253236.CEL.gz","GSM253237.CEL.gz"
"AF306396.1_RC_s_at",7.07891557564792,6.97020909876698,7.37842797823577,7.43549524836791,6.93715406813331,7.17542893951524,7.0139951024904,7.46709688312137,7.20940849264723,8.67915626119833,7.30702300146668,7.33488386193321,6.49576821405912,7.14722022641281,6.80410448499187,6.80656976653209,6.32478613600559,6.96241031249027
"Pf.12.433.0_CDS_at",10.4584366442117,10.19456381324,10.0569612565593,10.3198919296144,10.5106275410831,10.2309502386395,9.89682260517526,9.70266985860087,9.75839254240865,9.72726034254828,9.86966040960028,10.0326036830978,9.52756715476856,8.60103513766029,9.00770390151166,9.2868456846736,9.95562915470708,9.81043281854891
"Pf.13_1.328.0_CDS_at",5.33732122290828,5.54495612087902,5.77542590176044,5.7393707603162,5.38813413009405,5.89928769745095,5.86561186360874,5.57103899779039,5.59868719115261,4.67751026816674,5.64179721217648,5.99263618002462,6.78806816508162,6.50002525274721,5.93025005304238,6.51556872866209,5.58208177503301,6.22563733063071
"Pf.7.156.0_CDS_at",10.4203768001841,10.4150046331352,10.3721622642073,10.4090276873139,10.2846282306812,10.3451448956236,9.38575780996891,9.42224490681837,9.58158185284659,8.69852941990996,9.69477014535069,9.41240841021732,9.87227599166408,10.1831838202836,10.2673727457818,10.3730857631637,9.94053243986214,10.0273586656117
"Pf.8.32.0_CDS_at",10.1738698867617,10.2445890638529,10.2162738504285,9.87276244448164,10.0880999375755,10.2752801397988,11.0023637837545,11.1227197016939,11.1482099654931,10.6974085670876,11.0426414871087,11.0813145310027,11.2931861710116,10.9205470940262,11.1987657988323,10.8748373429552,11.1801060955208,11.4636712497128
"Pf.13_1.67.0_CDS_at",8.80560601182531,8.65524489505644,8.26615853073341,8.59540085409731,8.53230459602487,8.6954617986551,9.36054144883519,9.27009548064448,9.27536286280229,8.87010373755023,9.24775545943736,9.13262908800229,9.98410210160929,9.22440948458421,9.71634975009903,9.82067602536283,9.60344729315394,9.59625829208269
"Pf.6.228.0_CDS_at",4.73899547031337,4.46684085739483,4.20657059231782,4.53675955171257,4.2645264601072,4.68405562592928,3.62966566878435,3.46023640853579,3.5662527046073,3.0536710134399,3.60253224373545,3.42071644751541,3.60675732563286,3.55585777622025,3.67773082133597,3.60679902426967,3.79189790872844,3.66829736813447
"Pf.7.73.0_CDS_at",8.47494867855333,8.28693912492559,8.20882027099204,8.15075937015959,8.3093439622753,8.40335698983525,7.88105354486195,7.81456875598162,7.74875438851873,7.61484561894362,7.65312349266083,8.00854172098355,7.64661627959124,6.42833115468648,7.19376724778426,7.50496487370422,7.82687160344061,7.91821900504814
"Pf.6.45.0_CDS_at",8.80396985898783,8.86201622000772,8.88246961396874,9.00082405871783,8.64868455215442,9.06405878037473,9.13737812837783,9.0883997058377,9.19154445427018,8.50973981595256,9.25634560220677,9.27001884011206,9.9292461571186,10.0747279464803,10.0063357479995,9.81827276625693,9.81212022510019,9.68469012945288
"Pf.14.40.0_CDS_a_at",7.31464017527307,7.64684489770803,7.62803106836202,7.7423197557504,7.38826114169129,7.62941311315736,8.28196720740806,7.82604504729912,8.30539270048324,7.6688083357334,8.06019776691038,8.01715383890792,8.55627600789004,8.82783939318594,8.67628726111195,8.63563239266067,8.59474679478317,8.57035740655971
"Pf.8.129.0_CDS_at",9.17693790084836,8.84481017181305,8.6150245794037,9.05121718802153,9.19902634475528,8.72778724835855,8.66539253963195,8.80673525337949,8.41872805715619,9.3235401878107,8.76380271734275,8.672413871966,8.34155602524615,7.65508260137425,7.7663811030688,7.79347211070093,8.46668209522024,8.24370907268557
"AF057712.1_s_at",8.8685788137533,8.77452277722571,8.41156591608967,8.43358860332089,9.11565447844821,8.76746764727171,9.24404712711167,9.33057212587279,9.2443684426575,9.37768705391781,9.16745981952547,9.50312030575395,9.41442966484078,8.18415848651054,8.96008434577558,8.63944363463287,10.0195082946555,9.81566233234032
"Pf.1.62.0_CDS_at",8.02083539489209,8.00407859543501,7.56640423152834,7.9917384838933,7.66512551020169,8.01696659918031,8.37533848862593,8.21687706899298,8.40395862265818,7.85846709286831,8.37177710277526,8.06659773596229,9.03620113819681,8.85743966867393,9.00729097951953,9.14820975464204,8.82286713049945,8.69300522013457
"Pf.10.272.0_CDS_at",4.78886172415099,4.65483850889856,4.77273176089081,4.47116948835792,4.13935329402122,4.19875490897964,4.3367831876734,3.98863098562015,4.09138399493982,3.52705808415155,3.90992793734768,4.10160065592057,3.28033382854867,3.24927877337006,3.56368310817743,3.38764986591256,3.70452757864998,3.93624828381624
"Pf.13_2.678.0_CDS_s_at",3.91466336078523,3.72029542193594,3.30672397527908,4.131167823417,3.94813963390019,3.95061177007679,3.40238929339468,3.22899867754654,3.23532101954231,2.57989175857524,3.30553573601877,3.3820061992759,4.00075283489964,3.46423315451241,4.17529523012659,4.00066271482127,3.73009109741796,4.71324000996004
"Pf.13_1.459.0_CDS_x_at",4.79772380059247,4.64266896729954,4.44818891787289,4.66220355690112,4.18707100279093,4.35078135957519,4.85500062566431,4.46565627957888,4.80535935497565,4.02995774173199,4.70527992891201,4.35554564491007,5.78592981881384,5.33597353041361,4.86380249119231,5.51189804722038,5.35173289847952,5.33192365084723
"Pf.9.200.0_CDS_at",7.02430400672872,6.64749845275312,6.42041014211087,6.12060835252481,6.98941234528585,6.67024265502678,5.86000649718259,5.46522962687736,6.13091878929155,5.64919095579424,5.76593293266517,5.67731449806655,5.61136332557882,5.48143869662253,6.1332498597778,5.90115282708323,6.18582573387714,5.96966561926659
"Pf.10.72.0_CDS_at",9.31398197786588,9.49827664243937,9.29197479739368,9.46772542645175,9.29880657898129,9.1524145940824,9.92013464651589,9.79219262419587,9.77602153092239,9.58254885907136,9.80004836283528,9.75519935492988,10.7393481016072,10.4109864603098,10.4481044316032,10.5803638985895,10.2315255282345,10.1804025178598
"Pf.8.86.0_CDS_at",7.70855157556601,7.5620554514142,7.64264154256213,7.62829844182837,7.75865913759585,7.64582560557235,7.09666829404204,6.94603837315274,7.15047574961432,6.76313162161608,7.15035622908824,7.19626093218301,6.76201531079042,6.18243477726395,6.32665779083225,6.77715396835727,6.6953975603586,6.72099886723472
"AFFX-HUMRGE/M10098_M_at",4.45772097478365,5.10444540509476,4.48036325370263,4.2301137578406,4.59761468230265,4.42133359205688,3.68247727423553,4.38364258205845,4.3466316308466,3.40415737071349,4.41676853231013,3.96422210608143,4.64408237660728,4.82742916687363,5.32613203823215,4.58754310024272,5.06860664983439,4.93780611184392
"Pf.10.159.0_CDS_at",9.95653930989956,9.94630059540293,9.89143822542242,9.90940988701115,9.73950869206033,9.86271902056206,9.22258759366367,8.99317818434054,9.25120887958834,8.44369311170665,9.11117233460431,9.03506831076811,9.01952626333987,8.68411188885376,8.75881055065676,9.05056341157265,8.90465276192692,9.22962582071367
"Pf.8.174.0_CDS_at",4.33258324178104,4.51959371807802,4.43550149264131,3.8541736514267,4.17528477296844,4.96526467056048,3.77347159555958,3.60862052301031,3.80131371684929,2.93414731266627,3.54825258452259,3.76637982625707,3.39466413586649,3.52548409896066,3.78002956644956,3.72495421568465,3.63532215997229,4.35425737719501
