"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ag.2L.1767.0_CDS_at",0.0133127793727199,2.83457498317645,0.155042019832994,0.878443429503501,0.977854198862831,-7.14967604270725
"Ag.2R.2758.0_CDS_at",0.0150129907272176,3.13107409316233,0.154961537630267,0.878505999507086,0.977854198862831,-7.14968908805953
"Ag.2L.1468.0_CDS_a_at",-0.013052489497023,2.90135627380784,-0.154893744000702,0.878558705555956,0.977854198862831,-7.14970007147983
"Ag.UNKN.1121.0_CDS_at",0.0127168293756472,3.37582728738039,0.154890344388951,0.878561348594006,0.977854198862831,-7.14970062213346
"Ag.2R.2438.0_CDS_at",-0.016483122061431,3.58112046466703,-0.154769951701844,0.878654949182713,0.977910574735614,-7.14972011501969
"Ag.3L.832.0_CDS_at",0.0132425228241344,3.78269628786087,0.154620417278491,0.878771208881924,0.977992162619509,-7.1497443052196
"Ag.3L.1961.0_CDS_at",-0.0143252048565576,3.04010718552343,-0.154288341218926,0.879029400765175,0.978154523546488,-7.14979794179066
"Ag.2R.3143.0_CDS_at",-0.012624599805525,3.28735567308132,-0.154279589041938,0.879036205843529,0.978154523546488,-7.14979935387721
"Pf.3.174.0_CDS_at",0.0350878863727551,4.80903622164646,0.154225892992472,0.879077956333256,0.978154523546488,-7.14980801551234
"Ag.UNKN.1662.0_CDS_at",-0.0131329406813621,3.24766465260343,-0.154211770142959,0.879088937385559,0.978154523546488,-7.14981029315004
"Ag.UNKN.1536.0_CDS_s_at",0.0152143216506879,2.90607890308844,0.154126402066122,0.879155314845691,0.97816641928321,-7.14982405630678
"Ag.3L.310.0_CDS_s_at",-0.0128347216647366,2.86723342796949,-0.154087517992586,0.879185549239356,0.97816641928321,-7.14983032272988
"Ag.2R.334.0_UTR_s_at",-0.0123385882883615,3.02528846872862,-0.153718566181341,0.879472437976797,0.978395124059256,-7.14988970325249
"Ag.2L.486.0_CDS_at",0.0153535590606511,3.0030759123458,0.153681175396034,0.879501513177248,0.978395124059256,-7.14989571314504
"Ag.2R.264.0_CDS_a_at",0.0124864657849968,3.12493085882953,0.153657372083262,0.879520022804904,0.978395124059256,-7.14989953833739
"Ag.2R.396.0_CDS_at",-0.0104966105027429,3.09947447274286,-0.15344346641732,0.879686360587503,0.978443081286418,-7.14993388645808
"Ag.X.923.0_CDS_at",0.0137062459309274,3.06315145085794,0.153429610555776,0.879697135410415,0.978443081286418,-7.14993610973124
"Pf.12.254.0_CDS_at",-0.0197421771796389,9.49055287675102,-0.153428306328728,0.879698149626141,0.978443081286418,-7.14993631899359
"Ag.2R.3061.0_CDS_at",-0.0130644985057682,3.38386002018932,-0.153380888124162,0.879735023940249,0.978443081286418,-7.14994392600744
"Ag.UNKN.1540.0_CDS_at",0.0139643455559639,3.01356942395904,0.153261531100909,0.879827842038589,0.978498516845437,-7.14996306334584
"Ag.3L.2152.0_at",0.0152220750582195,3.0671442537757,0.153123803851634,0.879934947979587,0.978569836404573,-7.14998512764254
"Ag.2R.762.2_a_at",-0.010218352352622,2.7831232130476,-0.15301665256306,0.88001827764759,0.978614708852649,-7.15000227989799
"Ag.3L.1206.0_CDS_at",-0.0127942276060797,3.20531852234705,-0.152736149192202,0.880236426977351,0.978738712175908,-7.15004712479396
"Ag.2L.1789.0_CDS_at",0.0147364412018467,2.98368588111813,0.152719377568591,0.880249470691827,0.978738712175908,-7.15004980352211
"Ag.UNKN.1869.0_CDS_at",0.0128451843218789,3.49002724510935,0.15270745363772,0.880258744254831,0.978738712175908,-7.1500517078086
"Ag.UNKN.1999.0_CDS_at",-0.0130982215147215,3.56241821356513,-0.152638065639792,0.880312709526818,0.978748271427267,-7.15006278633115
"Ag.2R.130.0_CDS_at",-0.011192303142205,2.84331203742495,-0.152585857761981,0.88035331366465,0.978748271427267,-7.15007111855598
"Ag.2L.1051.0_CDS_at",0.011388971076925,2.73349173191292,0.152308183594804,0.880569277595662,0.978890594767233,-7.15011538676516
"Ag.2R.1529.0_CDS_a_at",-0.0139669242458196,2.89788434892616,-0.152276832396536,0.880593661915609,0.978890594767233,-7.15012037987722
"Ag.3R.1419.0_CDS_s_at",0.0116113003885527,2.94592993573592,0.152255433263034,0.880610305793721,0.978890594767233,-7.1501237873965
"Ag.2L.180.1_a_at",0.0108930971830046,2.8480425803049,0.152150520548258,0.880691905924741,0.978933509373191,-7.15014048639921
"Ag.3R.2075.0_CDS_s_at",-0.0134516393283863,2.96062277897834,-0.152021253394824,0.880792450595224,0.978971945259881,-7.15016104611902
"Pf.12.27.0_CDS_x_at",-0.0174003257537318,10.1310370258583,-0.151985781631921,0.880820041082124,0.978971945259881,-7.15016668479429
"AF221784.1_at",0.0108653501043487,2.63372864878293,0.151925925564752,0.880866598413557,0.978971945259881,-7.15017619667999
"AFFX-r2-Bs-lys-M_at",0.0317079082409486,4.06904635333091,0.151840290880535,0.880933207680008,0.978971945259881,-7.15018979861518
"Ag.2L.814.0_CDS_at",-0.0173274633917633,3.18937306418629,-0.15171292996863,0.881032274562738,0.978971945259881,-7.15021001405924
"Ag.X.475.0_CDS_at",-0.0148322571078428,3.17424371440055,-0.151624373061609,0.881101159181795,0.978971945259881,-7.15022406033864
"Ag.3R.1325.0_CDS_at",-0.0116369412455757,3.01322096472098,-0.151509836384758,0.881190253792339,0.978971945259881,-7.15024221521463
"Ag.2R.573.0_UTR_at",0.0159033620743265,2.80957865706569,0.151442391093605,0.881242718201739,0.978971945259881,-7.1502528993697
"Ag.X.943.0_CDS_at",-0.0136589169838528,3.42756662959571,-0.15129678045845,0.881355987867821,0.978971945259881,-7.15027594968462
"Ag.2R.439.0_CDS_at",0.0128965769058618,3.2143039021479,0.151256359433338,0.881387431613751,0.978971945259881,-7.1502823444526
"Ag.3L.1437.0_CDS_at",-0.0157966949040764,3.08999240810298,-0.151205353979649,0.881427109335633,0.978971945259881,-7.15029041128711
"Ag.3R.715.0_CDS_at",0.0126726483748003,3.01771661256391,0.151201656683041,0.881429985517184,0.978971945259881,-7.15029099593242
"Ag.3R.1957.0_CDS_s_at",-0.0107376598315387,2.75005078200099,-0.151117057191159,0.881495797171457,0.978971945259881,-7.1503043695658
"Ag.2L.907.0_CDS_at",-0.0121707818037193,3.24595001897139,-0.150981346970169,0.881601370743292,0.978971945259881,-7.15032580727572
"Ag.UNKN.673.0_CDS_at",-0.0229895806695182,3.06659859731409,-0.150943173134962,0.881631067871259,0.978971945259881,-7.15033183401205
"Ag.2R.1843.0_CDS_at",-0.0160020683167899,3.66837335353935,-0.150935239495533,0.8816372398256,0.978971945259881,-7.15033308635331
"Ag.2R.3321.0_CDS_at",-0.0117455612154787,2.92945479231498,-0.150934877780803,0.881637521220827,0.978971945259881,-7.15033314344916
"Ag.3L.138.0_CDS_s_at",-0.0123484073333231,3.09014090926118,-0.15092070499165,0.881648546925596,0.978971945259881,-7.15033538048423
"Ag.2R.1016.0_UTR_at",0.0114761739428473,3.06168023737883,0.150914302721893,0.881653527572011,0.978971945259881,-7.15033639095069
"Ag.2R.2537.0_CDS_at",-0.0127006963893745,3.27212021162377,-0.150888002357047,0.881673987996657,0.978971945259881,-7.15034054147313
"Pf.6.145.0_CDS_at",-0.0107612628778415,2.72603877891784,-0.150884747942394,0.881676519781382,0.978971945259881,-7.15034105500979
"Ag.2R.1878.0_CDS_at",-0.0117837976974395,2.79117581451858,-0.150861387560986,0.88169469312069,0.978971945259881,-7.15034474088209
"Ag.2R.2151.0_CDS_at",-0.0113956252647918,2.90854412114539,-0.150815271212149,0.881730569789858,0.978971945259881,-7.15035201558909
"Pf.14.626.0_CDS_at",-0.0120601521753616,2.71139736756611,-0.150715189513274,0.881808430239116,0.978971945259881,-7.15036779552569
"Ag.2R.2447.1_at",0.00918409056685054,2.90116821218657,0.150708050799533,0.881813983983615,0.978971945259881,-7.15036892069136
"Pf.11.338.0_CDS_at",-0.0370944305957446,8.49521339761183,-0.150657129099403,0.881853600001814,0.978971945259881,-7.15037694515364
"Ag.2L.828.0_CDS_at",-0.0120934948324447,2.77399161677231,-0.150592079420979,0.88190420775687,0.978971945259881,-7.15038719202887
"Ag.2L.438.2_a_at",0.0154887463890299,3.03905505603061,0.150542976665788,0.88194240937044,0.978971945259881,-7.15039492395963
"Ag.2R.2217.1_a_at",0.0127338632595537,2.98035581127968,0.150503189826726,0.881973363481749,0.978971945259881,-7.15040118712139
"Ag.3R.1492.0_CDS_a_at",0.0109235350574568,2.981179346022,0.15038650774964,0.882064143116895,0.979024981701695,-7.15041954544862
"AJ290930.1_s_at",0.0251360368586064,3.66985740623995,0.150239295164769,0.882178678134059,0.979069149968783,-7.15044268706831
"Ag.3R.1820.0_CDS_at",0.0128761289532897,3.11325599442145,0.150224823963932,0.882189937228668,0.979069149968783,-7.15044496070104
"Ag.3R.1729.0_CDS_s_at",0.0121619142297837,2.80755085724808,0.150087405495341,0.882296854831517,0.979114919405328,-7.15046654022091
"Ag.2R.2372.1_a_at",-0.0115649147410555,2.77185916841269,-0.150000560799927,0.882364425014503,0.979114919405328,-7.15048016772479
"Ag.2R.13.0_CDS_at",-0.0127775597220716,2.79987751982549,-0.149952987608674,0.882401440094339,0.979114919405328,-7.15048762948341
"Ag.UNKN.1489.0_CDS_at",-0.0144374303202643,3.32401987952166,-0.149950743477994,0.882403186182851,0.979114919405328,-7.15048798141244
"Ag.2R.420.1_CDS_a_at",-0.0154105626775434,3.18776257254658,-0.14984183533194,0.882487924977782,0.979122075221877,-7.1505050542894
