"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.5.249.0_CDS_at",3.59725956934074,3.55846367134481,2.7989873710227,2.67962343649199,2.60998464443266,2.81562433966219
"Pf.14.376.0_CDS_at",6.45606458802862,6.23486554940204,5.90567723154642,5.61926108491693,5.42887814152783,5.77886300352626
"Pf.5.35.0_CDS_at",9.06394242165486,9.02189849626724,9.40360419334639,9.29210695942891,9.96308722871759,10.0007540476665
"Pf.8.34.0_CDS_at",7.69888380451181,7.47671706691366,8.04134039387494,7.74253119788381,8.19435320276071,8.42761993919879
"AFFX-ThrX-3_at",8.47923289786474,8.47018779268045,7.82415620989273,7.73751201168131,8.46085021806759,8.45626181276313
"Y08169.1_at",4.37914519756073,4.64717381073171,4.67315558661265,4.8594996298255,4.27258903162974,3.82840125145726
"Pf.3.34.0_CDS_at",8.38145292149448,8.56338072325907,9.12267975191502,9.06120718234068,9.08289789330926,9.17527704452678
"Pf.4.89.0_CDS_a_at",7.10326951942421,7.0055203528441,7.21663389620116,6.86850537931118,6.45795030997504,7.02439491121232
"Pf.14.531.0_CDS_at",7.33468109039279,7.27715199216104,7.42950834287352,7.01283415264426,7.33081285302869,7.74055035646236
"Pf.11.66.0_CDS_at",11.3193581149519,11.3362626719483,10.7138547539846,10.6114382444256,10.3161902744108,10.5108002800512
"Pf.14.117.0_CDS_at",10.0753839485014,10.1677971896583,9.99190128534261,9.92523381177799,9.15176902054418,9.58892266716629
"Pf.7.36.0_CDS_at",8.21504229602628,8.3148771467562,8.67576598005859,8.36885006611663,8.89610511416209,9.15093677653456
"Pf.3.111.0_CDS_at",6.46960054487748,6.67268427983239,6.30204058069238,6.41258553849111,6.83826770272545,6.97365069611893
"AJ290940.1_s_at",10.1130576444562,10.0241941613049,10.5899716913767,10.4060742013482,11.0624215655817,10.9697539883543
"Pf.13_1.85.0_CDS_at",8.62962135042664,8.59162280495335,8.77953547641267,8.70001363863333,9.49461055226799,9.36779846435724
"Pf.2.129.0_CDS_at",10.104056253595,10.1479107426056,9.61857139217347,9.62228855586844,9.04330041883472,9.41082998763004
"Pf.14.749.0_CDS_at",7.6345701415545,7.52448178790207,7.74916131725684,7.53272061803701,8.54712098370645,8.24880432188757
"AB016617.1_RC_s_at",4.21137416150358,4.23390973868955,4.63749758300313,4.51857522372535,4.66769049531529,5.02824641233493
"AJ290918.1_s_at",5.26256070782539,5.30380458086971,4.85874693298881,4.61539913200835,5.38061809253698,5.3979407052383
"Pf.14.84.0_CDS_at",8.28016352563952,8.26020837970306,8.47987149056793,8.30181270096255,9.04371300203443,9.11976603696068
"Pf.4.22.0_CDS_at",4.96229054870019,4.82495500136528,5.3329343552091,5.3478164043987,4.80573363334823,5.43655473635946
"Pf.13_1.464.0_CDS_at",9.33595902342639,9.27565736513441,8.80086145710177,8.41544193273056,8.66922313057921,9.00832718983669
"Pf.12.135.0_CDS_at",7.37117491877719,7.37900208653321,7.70895864778004,7.59214428127708,8.22964676897921,8.31387041165395
"Pf.12.526.0_CDS_at",7.07473870185057,7.406432988145,6.51425746219843,6.39055264372272,7.25935886853431,6.95000620876606
"Pf.11.89.0_CDS_at",9.82568713678246,9.84373059060111,9.64173043029149,9.41930255881299,8.76228420487236,9.22342297796273
"AF528105.1_s_at",4.55150042492791,4.77878633204619,5.11261745030282,4.93134337391306,4.1151745137793,4.55453993141235
